GO	genes
mating	Gr21a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;tim;dsf;Nlg2;Gr28a;Gr28b;Gr32a;Acp33A;Pde1c;Gr33a;Pkd2;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;ppk25;Gr43a;lig;lectin-46Ca;Gr47b;CG17575;antr;Poxn;Jhe;spin;5-HT1A;Tab2;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;retn;ppk29;lov;Gr63a;tipE;Gr66a;Ilp5;Gr68a;CG12316;lush;Gr77a;Sems;TfAP-2;corto;Alh;Gld;Ir84a;FoxP;Fmr1;natalisin;sra;ss;Abd-B;SIFaR;CASK;Gr93a;Gr93b;Gr93d;prt;Gdh;Gr97a;Gr98a;Gr98b;Gr98c;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;egh;Tbh;Moe;Gr8a;Gr9a;CG15208;CG15200;Gr10b;Gr10a;cac;hec;eag;Pp1-13C;ppk23;amn;tilB
chemosensory behavior	Gr21a;Pino;Or22a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;CG9664;Gr28a;Gr28b;me31B;Gr32a;Gr33a;Gr36a;Gr36b;Gr36c;spi;Gr39a;Or42a;Gr43a;Gr47b;Or49a;AGO1;Alk;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Dll;NaCP60E;Gr63a;Gr64a;Ir64a;vn;Gr66a;Gr68a;lush;Gr77a;Or83a;Orco;Nmdar1;NPFR;Fmr1;Pp1-87B;Dop1R1;Atx2;sra;gish;GABA-B-R2;Gr93a;Gr93b;Gr93d;prt;scrib;Gr97a;Gr98a;Gr98b;Gr98c;TkR99D;Or1a;futsch;Gr5a;Gr8a;Ir8a;Gr9a;Gr10b;Gr10a;rad;acj6;mnb;amn
epidermis development	l(2)gl;spen;ft;vri;wg;tsh;tio;pk;lin;Rho1;fj;par-1;tsr;zip;mwh;Rac1;Cip4;tow;flr;Mbs;trc;in;cno;puc;lbl;lbe;scrib;Mtl;WASp;dco;N;ovo;sqh;sn;dsh;fw;Rok;f;Cdc42
epithelial cell differentiation	spen;kis;AP-2alpha;S;CG4552;CG31926;cpb;aop;Rab5;Hrs;toc;Mad;ed;ft;Traf4;Cf2;vri;H15;Hsp60C;Tsp26A;stai;smt3;wg;CG13113;me31B;pim;da;ab;Rab3-GAP;bun;kuz;rk;CycE;cact;chif;squ;Catsup;Pax;spi;fs(2)ltoPP43;spir;Fs(2)Ket;dimm;tsh;tio;gus;jing;geminin;mim;pk;cos;lig;Not1;Uba1;Prosalpha7;RanBPM;Dp;mip120;RN-tre;mam;phyl;aPKC;hbs;dup;Rho1;Lis-1;Khc;RhoGEF2;grh;fj;ena;par-1;hpo;PCNA;shg;apt;Ssrp;tsr;yki;zip;mwh;Rac1;Mrtf;kst;armi;Cip4;Src64B;Dhc64C;vn;tow;Galphai;RecQ4;Cbl;CalpB;nudE;rols;Klc;flr;btl;shd;mop;RhoGAP71E;Mbs;Abl;Ilp8;trc;Ssk;in;zye;mael;alpha-Cat;CG41099;kra;CG1077;puc;M1BP;Ras85D;Scm;CG4066;pic;yrt;sqd;rin;Abi;kibra;jvl;Hsc70-4;Abd-B;Pxd;Pxt;Dl;psidin;cic;Stat92E;Pi3K92E;Rab11;slmb;tin;Burs;CASK;mbc;Rab7;Tsc1;polybromo;scrib;Mtl;WASp;neo;Axn;wts;cindr;dco;Gprk2;nyo;ttk;Crk;sc;Rbf;mip130;usp;csw;egh;fs(1)Yb;N;Rala;CG15571;Femcoat;Muc4B;ovo;spoon;sqh;Spt6;sn;cyr;slpr;Cp7Fa;Cp36;Dsor1;nej;spri;dsh;hop;Evi5;fw;Smr;CG32642;CG15721;CG12716;hep;Muc12Ea;Myb;Rok;f;phm;Vav;Tao;dome;Cdc42;Rab35
cilium organization	BBS8;rempA;CG13999;TTLL3B;CG3769;CG42366;CG5142;CG5458;CG10859;Tektin-A;CG10839;CG31803;Dhc36C;btv;CG15161;Oseg5;dtr;nompB;cos;Nop17l;pnut;CG8800;dila;BBS4;Cep89;CG17669;Efhc1.2;CG9313;CG15666;nsr;CG3085;Klp59D;Oseg4;Oseg2;BBS1;CG5964;CCDC151;Zmynd10;CG6652;in;atk;CG34425;CG17387;CG1126;asl;Mst84Dc;CG7352;CG9492;Fmr1;CG6971;CG14367;CG3259;CG7886;CG4525;Sep2;CG15923;CG13617;CG13972;CG3062;unc-119;CG1571;CG10958;CG15208;Klp10A;Mks1;Sep4;unc;tilB;CG17599
mitotic cell cycle	l(2)gl;CG3436;AP-2alpha;Rab5;Drp1;toc;Mad;Spindly;Bub1;CG14020;Lam;CG7236;chic;Rca1;smt3;mts;Su(var)205;aust;borr;Cks30A;pim;cmet;crol;Sos;Su(H);CycE;CG18109;twe;Syx5;fzy;grp;glu;gammaTub37C;Top2;lok;Fs(2)Ket;del;Mcm10;Nipped-B;Act42A;geminin;Incenp;dpa;Orc1;scra;U2A;dpn;pnut;babo;Non1;dap;TER94;san;Mtor;MCPH1;SmD3;Sin3A;vg;Psc;Cap-G;Dp;cid;mars;tum;Asx;Su(var)2-HP2;SMC2;aPKC;dup;Rho1;Lis-1;Patronin;prod;PCNA;CG11788;PTP-ER;Rae1;CycB;ord;mi;fzr2;tsr;betaTub60D;zip;Ptp61F;Non2;pav;ago;Claspin;Dhc64C;mad2;Rcc1;ssp6;CG32396;Cdc27;eco;lark;CG7716;RecQ4;CG43163;Cdc6;alphaTub67C;SH3PX1;RasGAP1;nudE;CycA;vih;sti;caup;Syx13;CG10738;endos;gnu;Msh6;brm;Capr;polo;kni;chb;pzg;Pc;Rpn10;Arf79F;Chro;CkIIalpha;vtd;tacc;Hus1-like;corto;cno;Kat60;PEK;CG2104;alphaTub84B;alphaTub84D;puc;Cenp-C;bel;pum;HP1e;betaTub85D;rump;dmt;alphaTub85E;PpD3;Fmr1;tws;pont;Tctp;Blm;Pp1-87B;Aos1;Spc25;Hrb87F;B52;eff;Rrp6;mor;msps;CG14891;cal1;CG7794;14-3-3epsilon;Dlc90F;gwl;Dl;Sep2;Pi3K92E;Synd;slmb;Rab1;DNApol-alpha180;RpS3;Syx1A;asp;CycB3;ssh;Ser;CG5003;larp;Slbp;stg;alph;Bub3;wts;gammaCOP;CycG;Map205;sc;ase;Rbf;MED22;csw;wapl;Klp3A;Zw10;N;ctp;Act5C;sqh;Moe;Dsor1;nej;PPP4R2r;Hmr;feo;Klp10A;Ran;Dlic;dsh;PhKgamma;wisp;Smr;mus101;ben;mud;Grip128;CG8509;Myb;CycD;mei-41;Rok;Sep4;Sap30;CG8188;CG8173;CG15056;Grip84;Rab35
embryo development ending in birth or egg hatching	l(2)gl;lwr;aop;Rab5;Mad;ed;Traf4;chic;PDZ-GEF;mmy;Sec61alpha;wg;Mcr;raw;Arpc1;grp;tup;spi;tsh;Src42A;sced;dpn;sns;KCNQ;Ack-like;kn;chn;Rif1;Rho1;RhoGEF2;POSH;lolal;ena;rib;exu;shg;CycB;zip;Rac1;msn;Eip63E;dib;lark;Doc1;alphaTub67C;scyl;chrb;shd;AGO2;Mbs;Abl;Dab;CG32206;ash1;Deaf1;alpha-Cat;cno;Pak;puc;pyd;pum;Ras85D;jumu;sad;CG34402;yrt;ems;Cp190;srp;pnr;Pi3K92E;Rab11;mbc;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;scrib;Mtl;alph;faf;gw;arm;kirre;N;Rala;sqh;Dok;slpr;oc;Myo10A;dsh;hep;BthD;mei-41;Rok;upd2;phm;Vav;Cdc42
establishment or maintenance of cell polarity	l(2)gl;ds;S;capt;aop;Sec24CD;Rab5;fred;ed;ft;mts;d;Rab6;BicD;CadN;CadN2;spi;pk;lig;lola;stan;sca;Dp;aPKC;hbs;Dg;Rho1;Lis-1;Khc;grh;fj;rib;par-1;TBCB;sktl;shg;mago;egl;tsr;zip;mwh;Rac1;Patj;Dhc64C;Galphai;nmo;msk;Cbl;nudE;CG5964;Klp68D;prc;ara;caup;sff;CG6664;chb;Syx7;mael;alpha-Cat;Cont;cno;pyd;osk;Ras85D;tws;Csk;yrt;sqd;rin;rdx;Abi;jvl;CG45105;msps;gish;14-3-3epsilon;Dl;Rab11;slmb;CASK;CG45049;asp;scrib;ro;Mtl;btz;dco;heph;fz3;csw;egh;N;Rala;ec;ctp;spoon;Grip;sn;Moe;nej;Klp10A;Ran;dsh;hop;nod;fw;mud;Rok;Vps4;Cdc42
photoreceptor cell differentiation	ebi;Pph13;S;capt;aop;eys;lilli;ed;rau;PDZ-GEF;mts;Rab6;bun;Sos;dac;CadN;CadN2;spi;Mcm10;Src42A;vimar;Optix;lola;stan;Cam;sca;Nrk;cnn;phyl;hbs;SP2353;Lis-1;Khc;Syn2;Alk;cnk;grh;hpo;tsr;prom;rno;klar;Rac1;ru;Patj;msn;dos;Src64B;msk;Cbl;Nf-YA;RasGAP1;mop;Mbs;Dab;sinah;CG13251;tgo;Ras85D;ninaG;yrt;rin;eff;Atx2;ss;osa;gl;cdi;Dl;Ire1;Rab11;klg;sav;mask;BRWD3;boss;E(spl)mdelta-HLH;scrib;ro;Doa;alph;wts;ttk;RhoGAP100F;ey;sv;arm;csw;N;Rala;oc;Moe;Dsor1;lz;nej;sev;dsh;hop;ben;mbt;B-H2;B-H1;Vps4;Rip11;Mer
enzyme linked receptor protein signaling pathway	l(2)gl;spen;ebi;Ptth;dock;GluRIIC;S;aop;Hrs;Mad;Thor;for;ed;GluRIIA;GluRIIB;rau;Ddr;Pvf2;Pvf3;mts;Pp2A-29B;Ror;rho-5;piwi;kek2;bun;kek4;Sos;CG31832;Cul3;spi;scw;Cul2;CG41520;Src42A;Bap170;Cul1;Acsl;gcl;babo;CG10459;ths;Nrk;phyl;spin;Lis-1;Alk;cnk;grh;CG33958;Ote;cv-2;MAN1;Pdk1;rno;Rac1;Ptp61F;dos;srw;Src64B;vn;PVRAP;sgl;Cbl;Gug;Ilp1;Ilp5;RasGAP1;CG10738;btl;mop;Dab;Ilp8;Mkp3;cmpy;srl;CG34357;opa;bcd;tgo;pum;Ras85D;Fmr1;stumps;Sdr;CG9593;CG31183;pnr;Akt1;CG14891;htl;cdi;cic;Pi3K92E;GluRIIE;GluRIID;slmb;Irk2;mbc;Tsc1;mask;tld;boss;gro;scrib;wdb;alph;sima;CanA1;CycG;kek6;ttk;Crk;mav;ey;fuss;Actbeta;Vps26;csw;CG4096;slpr;Dsor1;sev;Ptp10D;tsg;hep;HDAC4;Neto;hiw;Graf;tay;Socs16D;Vps4;CG15056;Vav;Mer;Cdc42
wing disc development	net;spen;kis;ebi;S;capt;cpb;Su(dx);Rab5;lilli;Chd1;Mad;ed;ft;vri;PDZ-GEF;wg;Wnt6;chm;Rack1;mts;d;lft;Nup154;ab;salr;crol;CG16884;Su(H);Cul3;CycE;tup;Pax;spi;tsh;gus;Src42A;jing;Bap170;pk;cos;nito;lin;babo;lola;psq;inv;en;Sin3A;sca;vg;mam;cg;Sox15;Asx;kn;Hr51;Poxn;CG8405;Dg;Rho1;RhoGEF2;cnk;fj;sbb;par-1;shg;cpa;dom;cv-2;wmd;Chi;tsr;Nop60B;Dll;zip;mwh;Rac1;CG32301;Mrtf;Cip4;vn;tow;nmo;msk;Cbl;Gug;Doc1;CG4477;path;RasGAP1;eyg;ara;caup;flr;brm;Notum;Mbs;Nedd4;Ndfip;MYPT-75D;CG14073;Mkp3;trc;Su(Tpl);in;CG11399;skd;Wnk;corto;CG1943;Ada2b;pyd;hyx;CG8149;Ras85D;hyd;jumu;Mrp4;Snx3;CtBP;pic;mor;Sb;osa;14-3-3epsilon;fray;Dl;cic;Stat92E;H;how;Irk2;Rab7;puf;tok;tld;tnc;CG5890;E(spl)mgamma-HLH;tx;scrib;Ser;Mtl;Axn;dco;Gprk2;pygo;heph;lgs;zfh2;fuss;G9a;CG13366;arm;N;bi;ctp;sqh;dx;Dok;sn;dsh;hop;Drak;Amun;dy;pot;fw;Set2;tay;disco-r;Pp2B-14D;Rok;f;Hs3st-B;dome;Cdc42
meiotic cell cycle	lwr;Rab5;oaf;Bub1;tomb;Lam;chic;ifc;lid;Rca1;mtsh;aust;Cks30A;pelo;Nup154;CycE;CG18109;twe;Syx5;fzy;grp;tos;gammaTub37C;RanGAP;Top2;lok;spir;RPA2;del;Mcm10;Nipped-B;Incenp;scra;CanB2;dap;sca;cnn;Arf51F;SRPK;krimp;Nup62;tef;Topors;hts;mei-W68;Rae1;rad50;ord;shu;bgcn;fzr2;tsr;fwd;SA-2;Cdc37;enc;pav;Src64B;mei-P22;eco;CG7716;mtrm;RasGAP1;nudE;can;JIL-1;sti;Syx13;endos;Msh6;CG6664;polo;mael;Arf79F;tacc;Hus1-like;mia;RpA-70;Cenp-C;hyd;topi;Blm;Spc25;eff;msps;sra;cal1;gwl;nos;Synd;Rab11;Rab1;mod(mdg4);eIF4G2;asp;larp;Doa;yem;stg;gammaCOP;CycG;east;wapl;Klp3A;Zw10;dhd;hdm;His3.3B;mei-P26;Klp10A;Ran;nod;bif;wisp;Nup93-1;mud;Grip128;mei-41;Pp2B-14D;mei-218;Fim;CG12200;Grip84;Mer
regulation of nervous system development	l(2)gl;kis;cpb;erm;aop;Mad;ed;chic;PDZ-GEF;mmy;mts;numb;gcm;da;Trim9;bun;kuz;wor;CadN;ham;brat;spi;Mcm10;Cul2;Src42A;pk;Dscam1;Cul1;Hey;dpn;Acsl;unpg;eve;stan;Vmat;stj;Prosap;kn;aPKC;Hr51;Rho1;spin;Lis-1;Syn2;RhoGEF2;grh;stau;ena;hpo;Rae1;Sox14;yki;Kr;nerfin-1;Rac1;Spn;ago;Cip4;Src64B;Dhc64C;Rcc1;nmo;nwk;RasGAP1;nudE;simj;RhoGAP68F;Abp1;btl;mop;comm;brm;Mbs;Abl;Dab;nudC;sinah;tap;Nedd4;trc;Rab8;polo;barc;Syn1;Arf79F;MED31;Kat60;kat-60L1;Pak;Antp;hb;tgo;pum;Ras85D;MED6;Fmr1;tws;kibra;eff;mor;Akt1;ss;Pak3;Patr-1;osa;cdi;nos;Dl;RhoGAP92B;Pi3K92E;Lrrk;Synd;Rab11;slmb;Rab1;lbl;lbe;CASK;Octbeta1R;sav;BRWD3;ssh;E(spl)mdelta-HLH;E(spl)mgamma-HLH;E(spl)m3-HLH;E(spl)m5-HLH;E(spl)m7-HLH;E(spl)m8-HLH;ro;WASp;Cul5;alph;hdc;wts;ttk;sv;G9a;sc;ase;MED22;DAAM;futsch;csw;N;lva;ctp;oc;btd;Imp;Dlic;dsh;bif;cac;Bap60;NetB;hiw;Efhc1.1;caz;mbt;Rok;RhoGAPp190;mnb;ari-1;CG34401;Hs3st-B;Mer;Cdc42
embryonic morphogenesis	l(2)gl;lwr;S;aop;Rab5;Drp1;Mad;sob;ed;Traf4;chic;PDZ-GEF;mmy;Sec61alpha;wg;Mcr;raw;Prosalpha6;pim;sna;dl;tup;spi;scw;cad;tsh;p120ctn;Src42A;Pld;lin;eve;ths;Lac;Ack-like;mam;aPKC;Rho1;RhoGEF2;POSH;ena;rib;shg;twi;zip;gol;Kr;trh;Rac1;Ptp61F;Patj;msn;dib;srw;sgl;bin;scyl;chrb;byn;RhoGAP68F;shd;RhoGAP71E;Mbs;Abl;Dab;alpha-Cat;CG41099;hkb;5-HT2A;cno;kkv;Pak;zen;puc;pyd;pum;Ras85D;knk;jumu;sad;Dtg;wntD;yrt;stumps;srp;pnr;kuk;htl;Pi3K92E;Rab11;tin;bap;lbl;lbe;C15;slou;mbc;tld;tnc;scrib;Mtl;stg;alph;Gprk2;ase;arm;N;Rala;sqh;Dok;slpr;btd;Myo10A;dsh;hop;PhKgamma;hep;Rok;Vav;Cdc42;Rab35;run
localization of cell	kis;lwr;CG4552;cpb;aop;Rab5;Hrs;Mad;Tsp26A;stai;PDZ-GEF;Pvf2;Pvf3;Wnt4;Ntl;numb;Stam;SCAR;ab;Rab3-GAP;Pkd2;bun;kuz;Sos;rk;Tektin-A;CG31803;dl;Catsup;spi;del;gus;Src42A;jing;mim;Dscam1;so;Nop17l;dila;oys;Fpps;ths;Sin3A;Mdr49;mip120;RN-tre;unc-5;Rho1;spin;Lis-1;cnk;ena;rib;par-1;hpo;Lrt;shg;pgc;CG4329;nsr;CG3085;Klp59D;apt;tsr;yki;zip;Roc1b;Rac1;ru;Mrtf;Dpy-30L2;Dhc64C;vn;sgl;qm;Cbl;foi;CalpB;nudE;byn;prc;rols;Zmynd10;flr;Abp1;btl;shd;CG5048;Abl;kni;chb;Hem;hkb;CG17387;Hus1-like;opa;Kat60;asl;Pak;ftz;Mst84Dc;puc;tgo;pum;Ras85D;Fmr1;Csk;wntD;sqd;Abi;trx;stumps;kibra;jvl;CG45105;srp;Akt1;gish;Abd-B;htl;14-3-3epsilon;nos;Dl;psidin;Stat92E;Pi3K92E;Rab11;slmb;Rab1;mod(mdg4);tin;lbl;lbe;Burs;CASK;how;mbc;Rab7;XNP;Mtl;sima;PH4alphaNE2;wts;cindr;ttk;faf;Crk;ey;usp;csw;egh;N;Gas8;Rala;CG44774;spoon;sqh;sn;CG10958;Dsor1;nej;spri;dsh;hop;Evi5;hep;Jafrac1;NetB;CG12395;Dhc16F;phm;Vav;dome;Cdc42;tilB
negative regulation of response to stimulus	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);GlyP;aop;insv;Hrs;CG3277;ed;Lam;Ddr;uif;Pvf2;RapGAP1;mts;Pp2A-29B;Akap200;d;raw;numb;Ror;rho-5;piwi;kek2;crol;bun;kek4;Prosalpha6T;NimA;Cul3;CG7094;swm;Ret;Cul2;Src42A;Bap170;pk;cos;Cul1;Hey;lig;Acsl;gcl;Su(var)2-10;CG10459;TER94;stan;otk;Cam;Sin3A;Drl-2;Nrk;tum;Opa1;phyl;Mlf;casp;SP2353;Rho1;spin;Alk;MESR4;par-1;hpo;Lrt;cpa;PTP-ER;RYBP;apt;Sesn;ken;MAN1;rno;E(bx);Ptp61F;msn;armi;pav;ago;scny;CG10289;tow;PGRP-SD;nmo;BI-1;Cbl;Gug;PGRP-LC;RasGAP1;scyl;chrb;Atg1;Notum;PGRP-SB2;tap;Nedd4;Mkp3;asf1;Su(z)12;cmpy;chb;pzg;Pc;Csp;slif;srl;CG12147;puc;CG9636;pum;Ras85D;MED6;CG8507;Fmr1;Blm;Su(fu);CtBP;pic;rdx;eff;Sdr;Akt1;Fer2;htl;cdi;Stat92E;H;slmb;Rassf;Irk2;RanBP3;CG34355;Pli;Tsc1;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Doa;Diedel;alph;Axn;CG15537;spdo;wts;CanA1;dco;Gprk2;kek6;faf;fuss;Rbf;Sik2;CG2918;N;Rala;CG4096;dx;lz;nej;PPP4R2r;sev;dsh;PGRP-SA;Ptp10D;CG2577;CkIalpha;Smr;lic;HDAC4;hiw;Pp1-13C;Graf;tay;Dsp1;Rok;CG42684;mnb;Vps4;Ulp1;Vav;et;wap
response to endogenous stimulus	l(2)gl;lwr;dock;GluRIIC;aop;CG2964;Mad;Hydr2;Thor;for;GluRIIA;GluRIIB;rau;dsf;smt3;mts;Pp2A-29B;Nos;piwi;Sos;rk;scw;Hr38;Cul2;Cul1;RagC-D;Acsl;babo;CG10459;ths;Dh44-R2;Iswi;Dh31-R;Dh44-R1;Hr51;Ptp52F;Lis-1;cnk;grh;Ote;rig;cv-2;Sesn;MAN1;mAChR-A;Nurf-38;Pdk1;E(bx);MED14;Ptp61F;Chd64;DOR;Src64B;Lkr;l(3)psg2;sgl;CTCF;Ilp1;Ilp5;CG12289;btl;Ilp8;CG12229;Crtc;AstC-R2;AstC-R1;ftz-f1;Rab8;CG14184;Ir76b;cmpy;Eip78C;pzg;CG11249;srl;Pak;mAChR-B;bel;tgo;Ras85D;Dh44;Fmr1;su(Hw);stumps;CG7362;Sdr;FK506-bp1;pnr;Akt1;CG14891;Lgr1;TyrRII;TyrR;htl;Ir92a;Pi3K92E;GluRIIE;GluRIID;slmb;ETHR;SIFaR;PyK;CG7069;Nup98-96;Tsc1;BRWD3;tld;Nup358;Lgr3;gro;wdb;Dop1R2;sima;CG15537;tll;CycG;mav;fuss;G9a;Vps26;trr;usp;Sik2;csw;Trf2;Dsor1;Pa1;tsg;HDAC4;Set2;Neto;hiw;CG15056;Cdc42;Rab10
second-messenger-mediated signaling	GluRIIC;GluRIIA;GluRIIB;Nos;Gyc32E;ACXB;ACXA;rk;Ca-alpha1D;Ac3;CG30378;Cirl;Cam;CngA;CngB;CG42260;CG13526;Nplp1;CG13898;ACXD;CG32301;CG32305;Spn;Ir64a;Galphai;TrpA1;CG10738;CG43373;Ilp8;Ac76E;rdgC;Ac78C;Oct-TyrR;CG34357;Octbeta3R;Dop1R1;Gyc88E;CG31183;sra;Lgr1;TyrRII;TyrR;CG18208;Ir92a;GluRIIE;GluRIID;CG3822;Octbeta1R;Lgr3;CG5024;Dop1R2;AdoR;5-HT7;CanA1;CG15556;Gycbeta100B;Gprk2;Pdfr;Ir8a;cac;Cngl;hang;Pp2B-14D;CanA-14F;amn;Dop2R
regulation of embryonic development	PDZ-GEF;raw;twe;grp;geminin;TER94;bic;Rho1;Khc;RhoGEF2;stau;par-1;exu;mago;klar;Rac1;msn;enc;lark;CycA;Capr;zye;mael;cno;dgrn;pyd;Fmr1;wntD;mira;Rab11;how;Syx1A;Tl;Mtl;WASp;stg;neo;bnk;nyo;ttk;swa;Dok;slpr;hop;ben;Top1;mei-41;Pp2B-14D;Rab35
growth	l(2)gl;kis;al;ebi;PNUTS;cpb;Rab5;lilli;Mad;Thor;ft;bchs;chic;stai;Nlg2;wg;poe;d;raw;RnrL;Nos;SCAR;Nup154;CycY;bun;PICK1;Vha68-2;Sfmbt;kuz;CadN;CadN2;rdo;brat;CG9328;Cul2;Nipped-B;Src42A;jing;pk;Dscam1;lig;pnut;Acsl;Su(var)2-10;Wnt2;Uba1;stan;otk;Cyp6t3;vg;stj;Prosap;Hr51;dup;Dg;Rho1;spin;Syn2;Alk;RhoGEF2;stau;fj;sbb;ena;par-1;hpo;shg;Rae1;Synj;Sesn;bgcn;yki;Pdk1;Rac1;CG1139;Eip63E;ago;Cip4;Src64B;nmo;mRpL12;pix;nwk;path;simj;scyl;chrb;ssp;RhoGAP68F;ara;caup;Atg1;Abp1;Liprin-beta;btl;shd;mop;Toll-6;Mbs;Abl;Ilp8;tap;Capr;pip;Rab8;Ac76E;sNPF-R;cmpy;Syx7;Syn1;slif;srl;cno;Kat60;Hph;jagn;Pak;Nlg1;pum;Ras85D;Scm;hyd;Fmr1;Tctp;Csk;Paip2;rin;Abi;kibra;Sdr;Akt1;Patr-1;htl;14-3-3epsilon;nos;RhoGAP92B;cic;Sep2;Pi3K92E;Synd;Atpalpha;Rab11;C15;CASK;Octbeta1R;sav;Rassf;mbc;Rab7;Tsc1;puf;RASSF8;Lgr3;scrib;Mtl;WASp;Cul5;Trc8;sima;hdc;wts;dco;pygo;CycG;ttk;RhoGAP100F;ey;DAAM;futsch;arm;usp;gt;N;Mnt;bi;sqh;Dok;slpr;Caf1-180;spri;Imp;dsh;bif;cac;hep;lic;ben;eag;hiw;Efhc1.1;CycD;disco-r;caz;Rok;mnb;Vps4;upd2;CG7423;Tao;Mer;Cdc42;pico;amn;Rab10;wap
reproductive behavior	Gr21a;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;tim;dsf;Nlg2;Gr28a;Gr28b;Rack1;Gr32a;Acp33A;Pde1c;Gr33a;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Tdc2;ppk25;Gr43a;lig;lectin-46Ca;Gr47b;CG17575;antr;Ir52d;Poxn;Jhe;spin;5-HT1A;Tab2;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;retn;ppk29;lov;Gr63a;tipE;BG642312;Gr66a;Ilp5;Gr68a;CG12316;ash1;lush;Gr77a;Sems;TfAP-2;corto;Alh;Ir84a;FoxP;Fmr1;natalisin;sra;ss;Abd-B;SIFaR;CASK;Gr93a;Gr93b;Gr93d;prt;Gr97a;Gr98a;Gr98b;Gr98c;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;egh;Tbh;Moe;Gr8a;Gr9a;Gr10b;Gr10a;cac;hec;eag;ppk23;amn;tilB
response to oxygen-containing compound	l(2)gl;Gr21a;dock;S;Gr22f;Gr22e;Gr22c;Gr22a;Gr23a;CG2964;Thor;for;homer;Gr28a;Gr28b;mts;Sirup;Pp2A-29B;Akap200;CG9314;Nos;Gr32a;Gr33a;PICK1;Gr36a;Gr36b;Gr36c;spi;Hr38;Gr39a;Tdc2;Gr43a;Cul1;RagC-D;whd;Gr47b;Sod3;Cam;Iswi;sca;CG3790;Vmat;Arf51F;Poxn;Jhe;Ptp52F;cnk;POSH;CG10924;rig;Gr57a;ktub;Gr58a;Vrp1;Gr59a;Gr59b;Gr59c;Gr59d;apt;Sesn;mAChR-A;Nurf-38;Pdk1;E(bx);Ptp61F;PHGPx;Gr63a;Gr64a;DOR;Ir64a;l(3)psg2;CTCF;PGRP-SD;Gr66a;Ilp1;Ilp5;CG12289;Gr68a;nan;Ilp8;CG12229;Crtc;ftz-f1;lush;cyc;Rab8;CG14184;Ir76b;Toll-9;Gr77a;Ac78C;pzg;CapaR;CG11249;srl;Orco;Nmdar1;kra;Pak;wtrw;mAChR-B;bel;tgo;pum;Fmr1;Desi;ry;Dop1R1;su(Hw);CG7362;Sdr;dpr9;GlyS;Gyc88E;pxb;Akt1;Pxd;ort;Stat92E;Pi3K92E;HHEX;slmb;CASK;Gr93a;Gr93b;Gr93d;PyK;CG7069;klg;Nup98-96;Tsc1;BRWD3;CG5948;boss;Gr97a;Gr98a;Gr98b;Gr98c;wdb;Dop1R2;sima;CanA1;dco;CycG;G9a;trr;usp;Sik2;Gr5a;iav;Tbh;slpr;Trf2;Gr8a;Ir8a;Dsor1;Gr9a;Gr10b;Gr10a;PGRP-SA;HDAC4;Set2;Clic;eag;hang;ppk28;Tao;amn;Rab10
developmental maturation	l(2)gl;kis;capt;Hrs;Hydr2;fusl;GluRIIA;chic;Nlg2;milt;Stam;Ge-1;Rab6;rk;Pburs;Ca-alpha1D;BicD;gammaTub37C;spir;Hr38;gus;Cul1;gcl;ced-6;Uba1;TER94;psq;SmD3;muskelin;bic;aPKC;Hr51;Dg;Lis-1;krimp;Khc;stau;par-1;TBCB;exu;sktl;shg;mago;Fili;egl;Sox14;klar;Glut1;bab1;ru;Hsp83;armi;enc;Dhc64C;CalpB;mop;ftz-f1;chb;Pc;mael;Arf79F;CkIIalpha;vtd;Cont;lost;kkv;kat-60L1;Pak;Mkk4;osk;rump;Ras85D;Fmr1;glo;sqd;eff;jvl;Tm1;msps;osa;14-3-3epsilon;nos;Dl;mira;cic;Pi3K92E;Rab11;slmb;e;Burs;Efa6;SMC1;Syx1A;tld;scrib;spz;btz;hdc;heph;y;usp;egh;N;ctp;swa;Moe;Imp;CkIIbeta;wisp;cac;lic;ben;Grip128;Rok;Vps4;Mer
