GO	genes
photoreceptor cell differentiation	ebi;Pph13;S;capt;aop;eys;lilli;ed;tutl;PDZ-GEF;eya;Liprin-alpha;mts;Pten;salm;Rab6;bun;Sos;dac;CadN;CadN2;Mcm10;rl;Src42A;EcR;vimar;p47;didum;Optix;lola;stan;sca;Nrk;cnn;drk;phyl;hbs;SP2353;Lis-1;Khc;Syn2;Alk;cnk;grh;edl;hpo;tsr;prom;rno;klar;Rac1;ru;Patj;msn;dos;Src64B;melt;msk;Cbl;Shc;Nf-YA;RasGAP1;sens;fz;mop;Mbs;Dab;sina;sinah;CG13251;Ten-m;tgo;neur;Ras85D;ninaG;Cpn;svp;yrt;rin;Afti;eff;Atx2;ss;osa;tinc;gl;cdi;Dl;Ire1;Rab11;klg;sav;hh;Cdc16;mask;crb;BRWD3;msi;boss;E(spl)mdelta-HLH;scrib;ro;spg;Doa;wts;ttk;RhoGAP100F;ey;sv;sdk;arm;csw;N;Rala;GAA1;oc;Moe;Dsor1;lz;nej;sev;dsh;hop;mbt;baz;B-H2;B-H1;Vps4;Rip11;Mer;sw
localization of cell	kis;lwr;cpb;aop;Rab5;dpp;Mad;CG34124;Tsp26A;stai;PDZ-GEF;slam;eya;Pvf2;Pvf3;Wnt4;tai;numb;Stam;SCAR;ab;salm;Pkd2;bun;kuz;Sos;rk;esg;Tektin-A;CG31803;dl;kel;del;cta;gus;Src42A;EcR;jing;mim;Dscam1;so;tor;Nop17l;Ggamma1;Vang;Rme-8;wun2;dila;oys;Fpps;ths;Sin3A;Mdr49;drk;mip120;RN-tre;Shroom;CG8155;unc-5;Lis-1;inaC;cnk;ena;rib;par-1;hpo;18w;Lrt;shg;pgc;CG4329;nsr;CG30259;stl;CG3085;Klp59D;apt;tsr;yki;zip;Ptpmeg;Roc1b;Rac1;ru;Mrtf;Dpy-30L2;Dhc64C;Tektin-C;vn;ple;sgl;qm;pbl;Cbl;foi;Shc;CalpB;nudE;Pi3K68D;byn;prc;rols;Zmynd10;flr;Abp1;btl;fz;shd;CG5048;Abl;nes;kug;RhoBTB;knrl;kni;chb;CG10510;Hem;hkb;CG17387;Hus1-like;opa;Kat60;Cerk;asl;Pak;ftz;Mst84Dd;Mst84Db;tgo;pum;Ras85D;Fmr1;Csk;wntD;Abi;trx;stumps;kibra;jvl;AdamTS-A;spn-E;CG45105;Akt1;gish;abd-A;Abd-B;htl;sr;14-3-3epsilon;nos;Dl;bnl;psidin;Stat92E;Pi3K92E;Sec15;Rab11;slmb;Rab1;mod(mdg4);tin;lbl;lbe;Burs;CASK;Cby;how;hh;mbc;Rab7;spas;Apc2;ana1;sosie;lobo;XNP;Mtl;Apc;sima;PH4alphaNE2;wts;ttk;faf;JYalpha;Crk;ey;PlexA;usp;csw;egh;N;Gas8;Rala;CG44774;spoon;sn;CG10958;Dsor1;nej;spri;Kap3;dsh;hop;Evi5;hep;Jafrac1;NetA;NetB;CG12395;mthl1;baz;par-6;Dhc16F;phm;Pvf1;Vav;dome;Cdc42;tilB
regulation of cell differentiation	l(2)gl;kis;lwr;erm;aop;dpp;Mad;ed;tutl;H15;mid;chic;lid;PDZ-GEF;mmy;eya;Liprin-alpha;wg;chm;mts;SoxN;tai;numb;gcm;gcm2;Pka-C1;Pten;da;Trim9;Nup154;salm;bun;nub;Tor;kuz;He;Su(H);esg;wor;heix;Cyt-c-d;CadN;ham;Nedd8;brat;Mcm10;rl;Src42A;EcR;pk;Dscam1;didum;Cul1;nito;Hey;dpn;Vang;Rme-8;eve;TER94;stan;bic;Dp;Vmat;tum;Prosap;mspo;kn;SMC2;aPKC;chn;Hr51;Mlf;Lis-1;Khc;RhoGEF2;grh;stau;par-1;hpo;exu;shg;mago;stl;yki;enok;zip;Kr;Ptpmeg;klar;nerfin-1;trio;Rac1;dar1;enc;ago;Src64B;Dhc64C;DnaJ-1;PGRP-LD;vn;Rcc1;vvl;pbl;Cbl;PGRP-LA;PGRP-LF;Shc;RasGAP1;nudE;E(z);Atg1;btl;Sox21a;fz;mop;comm;brm;Mbs;Abl;Dab;nudC;sina;sinah;tap;Nedd4;trc;polo;barc;mael;Arf79F;kat-60L1;CG11000;Pak;Antp;Atg13;Cenp-C;hb;tgo;neur;Ras85D;MED6;Fmr1;tws;Bruce;Tctp;CG5214;kibra;eff;spn-E;mor;Akt1;ss;Pak3;Ubx;Abd-B;cher;osa;tinc;cdi;Dl;mira;Stat92E;Pi3K92E;Rab11;slmb;Rab1;lbl;lbe;sav;unk;cnc;nau;mbc;spas;Syx1A;Tsc1;Apc2;CHORD;BRWD3;ssh;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;ro;Ser;l(3)mbt;Apc;spg;Dr;hdc;wts;ttk;krz;fuss;PlexA;sv;G9a;ac;sc;ase;Roc1a;sdk;DAAM;usp;csw;kirre;N;ec;lva;ctp;raptor;swa;oc;lz;CG42797;btd;spri;Imp;Dlic;dsh;bif;hep;Bap60;Pdcd4;NetA;NetB;Efhc1.1;exd;mbt;Rok;RhoGAPp190;mnb;ari-1;Wnt5;Pvf1;CG34401;Ulp1;Hs3st-B;rictor;Mer;Cdc42;Rab35
enzyme linked receptor protein signaling pathway	l(2)gl;spen;Pi3K21B;ebi;Ptth;dock;GluRIIC;S;aop;dpp;daw;Mad;for;ed;GluRIIA;GluRIIB;Ddr;Pvf2;Pvf3;mts;Pp2A-29B;Ror;Pten;rho-5;piwi;kek2;bun;kek1;Tor;kek4;Sos;CG31832;Cul3;scw;Cul2;step;rl;CG41520;sxc;Src42A;Bap170;tor;sax;Cul1;gcl;babo;clos;CG10459;magu;ths;Nrk;drk;phyl;Lis-1;Alk;cnk;grh;CG33958;Ote;edl;hppy;CG3216;cv-2;MAN1;Pdk1;rno;Ptpmeg;Rac1;Ptp61F;dos;srw;Src64B;vn;PVRAP;sgl;melt;Cbl;Gug;Shc;Ilp1;Ilp2;RasGAP1;Pi3K68D;CG10738;btl;mop;Dab;sina;Mkp3;trbl;cmpy;srl;CG34357;opa;lab;bcd;tgo;pum;Ras85D;Fmr1;svp;stumps;put;Sdr;CG9593;CG31183;pnr;Akt1;CG14891;htl;cdi;bnl;cic;Pi3K92E;GluRIIE;GluRIID;slmb;tsl;mbc;Tsc1;mask;tld;boss;gro;scrib;wdb;spg;sima;CG15529;CanA1;CycG;Med;ttk;Crk;Eph;mav;ey;fuss;Actbeta;Roc1a;fs(1)N;Vps26;csw;Ilp6;Ptp4E;CG4096;fs(1)M3;raptor;Smox;slpr;Dsor1;CG1791;sev;Ptp10D;tsg;hep;HDAC4;Neto;hiw;Graf;tay;Vps4;CG15056;Pvf1;rictor;Vav;kek5;Mer;Cdc42
appendage development	net;spen;kis;al;ebi;S;Su(dx);Rab5;dpp;Duox;Chd1;Mad;sob;odd;bowl;ed;ft;PDZ-GEF;wg;Wnt6;Rbsn-5;Btk29A;d;Pka-C1;lft;ab;salr;salm;crol;Plzf;nub;Sos;Su(H);ck;Cul3;CycE;dac;qua;drl;step;tsh;rl;ap;Src42A;EcR;jing;Bap170;pk;cos;sax;babo;magu;lola;psq;sha;inv;en;sca;vg;drk;mam;cg;Asx;kn;Hr51;Poxn;RhoGEF2;cnk;RhoGAP54D;fj;sbb;par-1;shg;cv-2;dve;px;wmd;Galphas;Chi;tsr;pio;Dll;zip;trh;trio;mwh;Rac1;Mrtf;Cip4;l(3)psg2;vn;tow;nmo;msk;Cbl;Gug;Shc;RasGAP1;RhoGAP68F;eyg;ara;caup;mirr;flr;D;fz;RhoGAP71E;brm;Mbs;Nedd4;MYPT-75D;ftz-f1;Mkp3;trc;in;fng;skd;TfAP-2;Pak;Alh;rn;tgo;neur;hyx;Ras85D;jumu;trx;mor;ss;Ubx;osa;fru;Dl;RhoGAP92B;Hs6st;cic;Stat92E;H;lbl;lbe;C15;how;hh;unk;EloA;Syx1A;tok;tld;polybromo;tnc;danr;dan;scrib;Ser;Mtl;Dr;Axn;dco;Gprk2;pygo;Med;heph;lgs;zfh2;fuss;svr;arm;wds;N;bi;ctp;ovo;dx;Dok;sn;Smox;Lim1;lz;btd;Sp1;dsh;Drak;m;dy;pot;fw;sno;tay;Stim;disco-r;disco;Rok;mthl1;f;RhoGAP16F;upd3;Cyp18a1;Hs3st-B;e(y)3;Cdc42;parvin;RhoGAP19D
regulation of anatomical structure morphogenesis	l(2)gl;ds;capt;aop;Sec24CD;dpp;Drp1;Mad;ed;ft;tutl;chic;PDZ-GEF;mmy;Liprin-alpha;wg;mtsh;Akap200;Dref;Pten;Trim9;SCAR;Tor;kuz;CG15283;Su(H);Cyt-c-d;CadN;Arpc2;Mcm10;tsh;cta;rl;Src42A;pk;Dscam1;Ggamma1;Vang;eve;stan;otk;mspo;kn;aPKC;chn;Hr51;Mlf;Lis-1;RhoGEF2;rib;par-1;Pgam5-2;zip;fwd;trio;Rac1;msn;dar1;Src64B;vvl;pbl;Shc;RasGAP1;nudE;btl;fz;Mbs;Abl;Dab;nudC;sina;sinah;tap;Nedd4;trc;zye;park;Hem;CG11438;cno;kat-60L1;Pak;Dfd;pyd;tgo;neur;Ras85D;Fmr1;Cad86C;Abi;put;eff;gish;ss;Pak3;Abd-B;tinc;htl;cdi;Rab11;Rab1;lbe;sav;nau;spas;BRWD3;ssh;ro;Mtl;WASp;Apc;spg;neo;wts;bnk;mey;nyo;Med;ttk;PlexA;sv;G9a;DAAM;csw;kirre;N;Rala;ec;lva;ovo;raptor;nullo;Dok;Smox;slpr;oc;Moe;lz;CG42797;Dlic;dsh;hop;bif;m;Mks1;NetA;NetB;Efhc1.1;mbt;Rok;baz;RhoGAPp190;Wnt5;CG34401;Mer;Cdc42;Rab35
epithelial tube morphogenesis	l(2)gl;net;spen;kis;al;ebi;S;Su(dx);Rab5;dpp;Duox;Chd1;Mad;sob;odd;bowl;ed;ft;Traf4;Lam;chic;PDZ-GEF;mmy;eya;Rca1;Mnn1;wg;Wnt6;chm;Rbsn-5;Btk29A;d;Cks30A;Pka-C1;pim;lft;Myo31DF;ab;salr;salm;crol;Plzf;CG17211;Tor;Sos;Su(H);ck;Cul3;esg;CycE;dac;qua;barr;cad;step;tsh;rl;gus;ap;Src42A;EcR;jing;Bap170;pk;cos;so;sax;babo;dap;sqa;magu;lola;psq;sha;inv;en;otk;Cyp301a1;sca;vg;drk;fand;mam;cg;Asx;kn;aPKC;Hr51;Poxn;RhoGEF2;cnk;RhoGAP54D;thr;fj;sbb;rib;par-1;shg;cv-2;dve;px;twi;wmd;Galphas;Chi;tsr;pio;Mmp1;Dll;zip;Kr;trh;trio;bab1;mwh;Rac1;msn;Mrtf;ago;Cip4;l(3)psg2;vn;tow;pbl;nmo;msk;Cbl;Gug;foi;Shc;RasGAP1;byn;RhoGAP68F;ara;caup;mirr;flr;btl;fz;RhoGAP71E;brm;Mbs;Nedd4;MYPT-75D;ftz-f1;Mkp3;trc;in;fng;skd;TfAP-2;opa;Hph;kkv;Pak;rn;pyd;neur;hyx;Ras85D;dmt;hyd;knk;CG31406;jumu;svp;put;mor;ss;Ubx;osa;fru;Dl;bnl;RhoGAP92B;Hs6st;cic;Stat92E;H;lbl;lbe;C15;how;wge;hh;unk;VhaAC39-2;EloA;mbc;crb;tok;tld;polybromo;tnc;scrib;Ser;Mtl;fkh;stg;Dr;Axn;hdc;dco;Gprk2;gammaCOP;pygo;Med;ttk;heph;Crk;lgs;zfh2;ey;fuss;ac;ase;svr;CG13366;arm;N;VhaAC39-1;bi;ctp;Ptp4E;ovo;dx;Dok;sn;Smox;slpr;oc;Lim1;Moe;Dsor1;btd;Sp1;dsh;hop;Drak;Ptp10D;m;dy;pot;fw;hep;sno;tay;Stim;disco-r;Rok;mthl1;baz;f;B-H2;B-H1;par-6;RhoGAP16F;upd3;Cyp18a1;Pvf1;Hs3st-B;e(y)3;dome;Cdc42;parvin;RhoGAP19D
mating	Gr21a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;tim;qtc;dsf;Nlg2;Gr28a;Gr28b;Cyp4d21;Btk29A;Acp29AB;Acp32CD;Gr32a;Acp33A;Pde1c;Gr33a;Pkd2;jhamt;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Gr39b;ppk25;Gr43a;lig;lectin-46Cb;lectin-46Ca;Gr47b;Poxn;Jhe;5-HT1A;Tab2;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;retn;ppk29;lov;Gr63a;tipE;ple;Gr66a;Ilp2;Or67d;Gr68a;CG12316;tra;lush;Gr77a;Sems;TfAP-2;Alh;Ir84a;FoxP;Fmr1;natalisin;sra;ss;NPF;Abd-B;fru;Gr92a;Oamb;SIFaR;CASK;Gr93a;Gr93b;Gr93d;prt;Gdh;lobo;to;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;tko;egh;per;w;SPR;Tbh;Moe;Gr8a;Gr9a;CG15208;CG15200;Gr10b;Gr10a;cac;hec;eag;Pp1-13C;ppk23;amn;tilB
embryonic morphogenesis	l(2)gl;lwr;S;aop;Rab5;dpp;Drp1;Mad;sob;odd;bowl;slp1;ed;Traf4;chic;PDZ-GEF;mmy;wg;Mcr;Btk29A;Prosalpha6;pim;dl;tup;scw;barr;cad;step;tsh;cta;p120ctn;Src42A;EcR;Pld;tor;Ggamma1;lin;eve;ths;Lac;fand;mam;aPKC;RhoGEF2;POSH;thr;ena;rib;18w;shg;twi;Mmp1;zip;gol;Kr;trh;Rac1;Ptp61F;Patj;msn;dib;srw;sgl;bin;pbl;scyl;chrb;byn;RhoGAP68F;shd;RhoGAP71E;Mbs;Abl;Dab;trbl;alpha-Cat;CG41099;hkb;5-HT2A;cno;kkv;Pak;zen;pyd;pum;Ras85D;knk;jumu;sad;svp;Dtg;wntD;yrt;stumps;put;btsz;pnr;Ubx;abd-A;kuk;htl;sr;Pi3K92E;Rab11;tin;bap;lbl;lbe;C15;slou;tsl;Irp-1A;mbc;Orct2;crb;tld;tnc;scrib;Mtl;fkh;stg;Gprk2;krz;ac;ase;arm;N;Rala;nullo;Dok;Traf6;slpr;ric8a;btd;Myo10A;dsh;hop;PhKgamma;hep;Rok;mthl1;baz;par-6;Pvf1;Vav;Cdc42;Rab35;run;Npc1b
positive regulation of cellular component organization	AP-2alpha;ebi;chinmo;cpb;Sec24CD;Drp1;Mad;tim;Bsg25A;Elba3;Lam;chic;mmy;Rack1;Su(var)205;Ssb-c31a;numb;loh;SCAR;piwi;esc;PICK1;Tor;Arpc1;CaBP1;BicD;kon;spir;Arpc2;Nipped-B;BubR1;Pld;pk;didum;Rpt1;sax;dpn;Vang;mlt;stan;wde;Mtor;wash;cid;drk;Prosap;aPKC;Hr51;Lis-1;inaC;Pkc53E;Snx16;stau;Pcl;ena;Tbp;Synj;Vrp1;pgc;Rtf1;Ssrp;yki;Pgam5-2;egg;trio;Rac1;CG11486;dar1;Cip4;Dhc64C;scny;Ank2;nmo;Cbl;Taf2;nudE;E(z);simj;Rpt4R;RhoGAP68F;vih;flr;Abp1;fz;comm;Abl;nudC;CG33052;Nedd4;kug;RhoBTB;chb;park;Syx7;Arf79F;kra;kat-60L1;Pak;Taf1;Ada2b;HP1e;Rpt3R;Tctp;Arfip;Jupiter;Su(var)3-7;Abi;Cp190;msps;Akt1;gish;Pak3;cal1;cher;RhoGAP92B;psidin;Stat92E;Pi3K92E;Synd;Rab1;CASK;Nrx-1;Cdc16;nau;Rpt5;Nup98-96;spas;Tnks;spz;eater;Mtl;WASp;Cad99C;Rpt6R;dco;Gprk2;Med;krz;PlexA;Mitf;G9a;svr;DAAM;trr;PsGEF;z;lva;raptor;Rpt4;APC7;Moe;spri;Imp;Rpt3;dsh;hop;nod;prtp;cac;hep;Bap60;Graf;Chc;caz;Rok;par-6;mnb;Wnt5;rictor;Vav;CoRest;Tao;Cdc42;Rab35;CG15456;Rpt6
establishment of tissue polarity	spen;ds;S;aop;fred;ed;ft;Wnt4;Rbsn-5;Akap200;d;Pten;CG15283;CadN;CadN2;pk;Vang;lola;stan;otk;sca;Shroom;hbs;grh;fj;sano;par-1;shg;jbug;tsr;zip;fwd;mwh;Rac1;Patj;msn;tow;nmo;msk;ara;caup;mirr;flr;fz;kug;in;CG11438;cno;Ras85D;svp;rin;rdx;Abi;btsz;gish;Dl;scrib;ro;Mtl;dco;N;Rala;ec;nej;dsh;hop;fw;Mks1;hep;Rok;baz;Cdc42
post-embryonic animal organ development	l(2)gl;net;spen;kis;al;ebi;lwr;Pkg21D;S;Su(dx);Rab5;dpp;Duox;Chd1;Mad;sob;odd;bowl;ed;ft;Traf4;chic;lid;PDZ-GEF;eya;Rca1;Mnn1;wg;Wnt6;chm;Rbsn-5;Btk29A;d;Cks30A;gcm;Pka-C1;lft;loh;Myo31DF;ab;salr;salm;crol;Plzf;Tor;Sos;He;Su(H);ck;Cul3;esg;CycE;crp;heix;Syx5;dac;qua;step;tsh;rl;gus;ap;Src42A;EcR;jing;Bap170;pk;cos;so;sax;sns;babo;dap;sqa;magu;lola;psq;sha;inv;en;ths;otk;Cyp301a1;Sin3A;sca;vg;drk;mam;cg;Asx;kn;chn;Hr51;Poxn;RhoGEF2;cnk;RhoGAP54D;lolal;fj;sbb;par-1;lms;shg;cv-2;dve;px;wmd;Galphas;Chi;tsr;pio;Mmp1;Dll;zip;klar;trio;bab1;mwh;Rac1;msn;Mrtf;Cip4;l(3)psg2;vn;tow;akirin;nmo;bip1;msk;Cbl;Gug;Shc;RasGAP1;prc;RhoGAP68F;ara;caup;mirr;flr;fz;RhoGAP71E;brm;Mbs;Nedd4;Adgf-A;MYPT-75D;ftz-f1;Mkp3;trc;in;fng;skd;TfAP-2;tub;opa;Pak;Alh;rn;Poxm;neur;hyx;CG8149;Ras85D;hyd;CG31406;jumu;nsl1;mor;ss;Ubx;cher;osa;htl;fru;Dl;RhoGAP92B;Hs6st;cic;Stat92E;H;lbl;lbe;C15;how;wge;hh;unk;EloA;nau;Nup98-96;mbc;tok;tld;polybromo;tnc;scrib;Tl;spz;Ser;Mtl;Noa36;stg;Dr;Axn;dco;Gprk2;pygo;Med;heph;krz;Crk;lgs;zfh2;ey;fuss;svr;CG13366;arm;kirre;N;bi;ctp;ovo;dx;Dok;sn;Smox;slpr;oc;Lim1;Moe;lz;btd;Sp1;dsh;hop;Drak;m;dy;pot;fw;hep;sno;tay;Stim;disco-r;Rok;mthl1;f;B-H2;B-H1;RhoGAP16F;upd3;Cyp18a1;Ulp1;Hs3st-B;e(y)3;dome;Cdc42;parvin;RhoGAP19D
cilium organization	BBS8;rempA;CG10874;CG13999;CG42366;CG5142;CG5458;CG10859;yuri;Tektin-A;CG10839;CG31803;Dhc36C;btv;CG15161;Oseg5;dtr;nompB;l(2)41Ab;cos;Nop17l;pnut;ana2;CG8800;dila;BBS4;Cep89;CG17669;Efhc1.2;CG9313;CG15666;nsr;CG30259;CG3085;Klp59D;Oseg4;Oseg2;Tektin-C;BBS1;CG5964;CCDC151;Zmynd10;CG6652;CG33052;in;atk;CG10510;CG34425;CG17387;CG1126;asl;Sas-4;Mst84Dd;Mst84Db;CG7352;CG9492;Fmr1;CG6971;CG14367;CG3259;CG7886;CG4525;Sep2;CG15923;Cby;CG13617;ana1;CG13972;CG11448;unc-119;CG1571;CG10958;CG15208;Klp10A;Kap3;Mks1;Sep4;unc;Sep1;tilB;CG17599
morphogenesis of a polarized epithelium	l(2)gl;spen;ds;S;aop;fred;ed;ft;Wnt4;Rbsn-5;Akap200;d;Pten;CG15283;CadN;CadN2;pk;Vang;lola;stan;otk;sca;Shroom;aPKC;hbs;grh;fj;sano;par-1;shg;jbug;tsr;zip;fwd;mwh;Rac1;Patj;msn;Dhc64C;tow;nmo;msk;ara;caup;mirr;flr;fz;kug;in;CG11438;cno;Rab23;Ras85D;svp;yrt;rin;rdx;Abi;btsz;gish;Dl;scrib;ro;Mtl;dco;N;Rala;ec;nej;dsh;hop;fw;Mks1;hep;Rok;baz;par-6;Cdc42
chemosensory behavior	Gr21a;aru;Or22a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;CG9664;Gr28a;Gr28b;Pka-C1;me31B;Gr32a;Gr33a;Dyrk2;Gr36a;Gr36b;Gr36c;drl;Gr39a;Gr39b;Or42a;Gr43a;Ggamma1;Gr47b;Or49a;drk;AGO1;Ih;Alk;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;Dll;NaCP60E;Gr63a;Ir64a;vn;Gr66a;Rdl;Gr68a;lush;Gr77a;Or83a;Orco;Nmdar1;NPFR;Fmr1;Dop1R1;Atx2;sra;gish;NPF;Gr92a;Oamb;GABA-B-R2;Gr93a;Gr93b;Gr93d;prt;scrib;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;TkR99D;Or1a;futsch;Gr5a;Gr8a;Ir8a;Gr9a;Gr10b;Gr10a;rad;acj6;mnb;amn
regulation of cell projection organization	cpb;tutl;chic;mmy;Liprin-alpha;Pten;Trim9;SCAR;Tor;kuz;Arpc1;CadN;kon;ham;pk;Dscam1;Vang;eve;stan;Prosap;kn;aPKC;Hr51;Lis-1;RhoGEF2;ena;cpa;Klp59D;tsr;trio;Rac1;dar1;vvl;pbl;Shc;nudE;btl;fz;comm;Abl;Galphaf;nudC;tap;CG33052;Nedd4;trc;kug;kra;kat-60L1;Pak;Fmr1;Abi;Tm1;Akt1;ss;Pak3;psidin;Pi3K92E;Rab1;sav;spas;CHORD;ssh;Cad99C;wts;PlexA;G9a;DAAM;PsGEF;N;lva;raptor;CG42797;Imp;Dlic;dsh;bif;hep;NetA;NetB;Efhc1.1;Rok;baz;RhoGAPp190;par-6;Wnt5;CG34401;rictor;Cdc42;Rab35;CG15456
response to oxygen-containing compound	l(2)gl;Pi3K21B;Gr21a;dock;aru;S;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;CG2964;Duox;for;homer;Gr28a;Gr28b;mts;Sirup;Pp2A-29B;Akap200;CG9314;Pka-C1;Pten;Utx;Nos;Gr32a;Gr33a;PICK1;Tor;Adh;Gr36a;Gr36b;Gr36c;Hr38;Gr39a;Gr39b;step;rl;EcR;Tdc1;Tdc2;Gr43a;Cul1;RagC-D;whd;Gr47b;Sod3;Iswi;sca;CG3790;Vmat;Arf51F;Poxn;Jhe;Ptp52F;Sod2;inaC;cnk;POSH;swi2;CG10924;hppy;rig;Gr57a;ktub;Gr58a;Vrp1;Vps35;Cyp6d2;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;apt;Pde8;Sesn;Galphas;mAChR-A;Nurf-38;Pdk1;E(bx);mth;Ptp61F;PHGPx;Gr63a;Ir64a;l(3)psg2;melt;CTCF;Gr66a;Ilp1;Ilp2;CG12289;CG7551;Gr68a;CrzR;nan;CG12229;Crtc;Eip75B;ftz-f1;Cat;lush;cyc;Rab8;Toll-9;trbl;Gr77a;Ac78C;AcCoAS;pzg;CapaR;CG11249;srl;Orco;Nmdar1;kra;Pak;wtrw;mAChR-B;bel;tgo;pum;Fmr1;Desi;Arfip;svp;ry;Dop1R1;su(Hw);Crz;CG7362;Sdr;dpr9;GlyS;Gyc88E;pxb;Akt1;Pxd;cher;ort;CG4390;Gr92a;Stat92E;Pi3K92E;HHEX;slmb;CASK;Gr93a;Gr93b;Gr93d;PyK;Gclm;klg;Nup98-96;Tsc1;BRWD3;CG5948;boss;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;wdb;fkh;Dop1R2;sima;CanA1;dco;CycG;G9a;Roc1a;trr;usp;Sik2;ph-p;Ilp6;per;Gr5a;raptor;iav;Tbh;slpr;Trf2;Gr8a;Ir8a;Dsor1;Gr9a;Gr10b;Gr10a;HDAC4;Set2;Clic;eag;hang;ppk28;rictor;Tao;amn;Rab10
epidermis development	l(2)gl;spen;daw;ft;wg;Rbsn-5;ck;qua;tsh;tio;EcR;pk;lin;sha;fj;par-1;tsr;zip;mwh;Rac1;Cip4;tow;flr;fz;Mbs;trc;in;cno;lbl;lbe;hh;scrib;Mtl;WASp;dco;N;ovo;sn;dsh;m;fw;Rok;f;Cdc42
second-messenger-mediated signaling	GluRIIC;GluRIIA;GluRIIB;Dh31;Pka-C1;Nos;Gyc32E;Ca-beta;ACXC;ACXB;ACXA;rk;Ca-alpha1D;CG31802;Ac3;TpnC41C;TpnC4;CG30378;trpl;CngA;inaC;olf186-F;CG3216;CG9406;CngB;CG42260;CG13526;Galphas;Nplp1;CG13898;ACXD;CG32301;CG32305;Spn;Eip63F-1;Ir64a;Galphai;TrpA1;CG10738;CG43373;CG7497;rdgC;Ac78C;Oct-TyrR;CG34357;Octbeta3R;Dop1R1;Gyc88E;CG31183;sra;Lgr1;TyrRII;CG18208;Ir92a;GluRIIE;GluRIID;CG3822;Octbeta1R;Lgr3;Dop1R2;Cad99C;AdoR;5-HT7;CanA1;CG11318;CG15556;Gycbeta100B;Gprk2;CG11638;Pdfr;CG16721;Ir8a;cac;Cngl;hang;Pp2B-14D;CanA-14F;amn;Dop2R
regulation of nervous system development	l(2)gl;kis;cpb;erm;aop;Mad;ed;tutl;mid;chic;PDZ-GEF;mmy;Liprin-alpha;mts;SoxN;numb;gcm;Pten;da;Trim9;bun;nub;Tor;kuz;wor;CadN;ham;brat;Mcm10;Cul2;rl;Src42A;EcR;Mob4;pk;Dscam1;sax;Cul1;Hey;dpn;Vang;unpg;eve;stan;Vmat;stj;Prosap;kn;aPKC;Hr51;Lis-1;Syn2;RhoGEF2;Snx16;grh;stau;ena;hpo;Rae1;stl;PIP5K59B;yki;Eps-15;Kr;nerfin-1;trio;Rac1;Spn;dar1;ago;Cip4;Src64B;Dhc64C;Rcc1;vvl;Ank2;pbl;nmo;nwk;Shc;RasGAP1;nudE;E(z);simj;RhoGAP68F;Abp1;btl;fz;mop;comm;dbo;brm;Mbs;Abl;Dab;nudC;sina;sinah;tap;Nedd4;trc;Rab8;polo;barc;Syn1;Arf79F;Kat60;kat-60L1;Pak;Antp;hb;tgo;neur;pum;Ras85D;MED6;Fmr1;tws;Arfip;CG5214;kibra;eff;mor;Akt1;ss;Pak3;Patr-1;osa;tinc;cdi;nos;Dl;RhoGAP92B;Pi3K92E;Synd;Rab11;slmb;Rab1;lbl;lbe;CASK;Octbeta1R;sav;unk;spas;CHORD;BRWD3;ssh;E(spl)mdelta-HLH;E(spl)m7-HLH;E(spl)m8-HLH;ro;WASp;spg;Cul5;hdc;wts;Med;ttk;PlexA;sv;G9a;ac;sc;ase;Roc1a;sdk;DAAM;futsch;csw;Syx4;N;lva;ctp;raptor;oc;CG42797;btd;Imp;Dlic;dsh;bif;cac;Bap60;NetA;NetB;hiw;Efhc1.1;caz;mbt;Rok;RhoGAPp190;mnb;ari-1;Wnt5;CG34401;Hs3st-B;rictor;Mer;Cdc42
